time,status,id,message,name,address,phone,lat,lng,tags
13/03/2026 9:08,OK,69b3d3ff9e268fedeabacbdd,Uploaded,Dimsum & Mì HongKong - 港式茶餐厅,"28 Phan Phú Tiên, Phường Chợ Lớn, Thành phố Hồ Chí Minh, Việt Nam",,10.7519372,106.6656543,foodyhcm
13/03/2026 9:08,OK,69b3d4009e268fedeabacbde,Uploaded,Chang Hi - Chè Ngon Sáng Tạo - Nơ Trang Long,"107 Nơ Trang Long, Phường Bình Lợi Trung, Thành phố Hồ Chí Minh",,10.810574,106.695109,foodyhcm
13/03/2026 9:08,OK,69b3d4019e268fedeabacbdf,Uploaded,Chè Thái Út Lyly,"384 Nguyễn Trọng Tuyển, Phường Tân Sơn Hoà, Thành phố Hồ Chí Minh",,10.798682,106.661349,foodyhcm
13/03/2026 9:08,OK,69b3d4029e268fedeabacbe0,Uploaded,Trà Sữa Mixue - Khu Đô Thị Vinhomes Grand Park,"Vinhomes Grand Park, Phường Long Bình, Thành phố Hồ Chí Minh, Việt Nam",,10.8432695,106.8371114,foodyhcm
13/03/2026 9:08,OK,69b3d4039e268fedeabacbe1,Uploaded,港式甜品店 Trôi Nước HongKong - ChaChaanTeng,"28 Phan Phú Tiên, Phường Chợ Lớn, Thành phố Hồ Chí Minh, Việt Nam",,10.7519372,106.6656543,foodyhcm
13/03/2026 9:08,OK,69b3d4049e268fedeabacbe2,Uploaded,Đậu Hủ Cá Viên HongKong 港式鱼丸豆腐 - ChaChaanTeng,"28 Phan Phú Tiên, Phường Chợ Lớn, Thành phố Hồ Chí Minh, Việt Nam",,10.7519372,106.6656543,foodyhcm
13/03/2026 9:08,OK,69b3d4059e268fedeabacbe3,Uploaded,American Hotdog,"28 Phan Phú Tiên, Phường Chợ Lớn, Thành phố Hồ Chí Minh, Việt Nam",902915908,10.7519372,106.6656543,foodyhcm
13/03/2026 9:08,OK,69b3d4069e268fedeabacbe4,Uploaded,Kaya Toast Nướng - Cá Viên 咖椰吐司-鱼丸 & ChaChaanTeng,"28 Phan Phú Tiên, Phường Chợ Lớn, Thành phố Hồ Chí Minh, Việt Nam",,10.7519372,106.6656543,foodyhcm
13/03/2026 9:08,OK,69b3d4069e268fedeabacbe5,Uploaded,Xôi Cua Kim Thư - Hado Centrosa,"376/48 Nguyễn Đình Chiểu, Phường Bàn Cờ, Thành phố Hồ Chí Minh",,10.7745525,106.684935,foodyhcm
13/03/2026 9:08,OK,69b3d4079e268fedeabacbe6,Uploaded,Bánh Tráng Tóp Mỡ Da Giòn 116C - Kênh Nước Đen,"Phường Bình Hưng Hoà, Thành phố Hồ Chí Minh",,10.7912875,106.6062308,foodyhcm
